Countyname,R0,E0,I0,PCR_pos_samplingbias,PCR_pos_sample_clustering,PCR_pos_reporting_clustering,PCR_pos_reporting_rate,EffPopSize,IFR,PosteriorpredicitveP
Baringo,"1.78 (1.68, 1.89)","0.511 (0.0115, 1.91)","0.505 (0.0151, 1.82)","1.52 (0.385, 3.79)","17.4 (7.15, 34.2)","0.497 (0.105, 1.2)","8.86e-6 (1.68e-7, 3.98e-5)","0.337 (0.107, 0.815)","0.00323% (0.000935%, 0.00791%)",0.731
Bomet,"1.78 (1.71, 1.86)","0.817 (0.0261, 2.59)","0.929 (0.0414, 2.74)","2.51 (0.965, 5.28)","16.0 (7.66, 29.3)","1.28 (0.481, 2.43)","4.26e-5 (1.2e-5, 0.000103)","0.45 (0.194, 0.862)","0.00423% (0.00182%, 0.00868%)",0.586
Bungoma,"1.78 (1.7, 1.86)","0.81 (0.0303, 2.64)","0.953 (0.055, 2.83)","2.34 (0.682, 5.19)","18.7 (9.46, 32.1)","0.649 (0.144, 1.46)","3.33e-5 (8.65e-6, 8.47e-5)","0.19 (0.0707, 0.459)","0.000712% (0.000221%, 0.00157%)",0.583
Busia,"1.82 (1.77, 1.87)","1.26 (0.0336, 3.95)","2.07 (0.174, 4.69)","0.628 (0.299, 1.39)","17.2 (10.5, 26.2)","2.17 (1.56, 2.94)","0.000706 (0.000404, 0.00113)","0.659 (0.313, 0.977)","0.000967% (0.000577%, 0.00189%)",0.684
Elgeyo Marakwet,"1.73 (1.63, 1.84)","0.548 (0.0182, 1.94)","0.543 (0.0157, 1.9)","1.46 (0.357, 3.77)","20.7 (7.85, 41.5)","0.506 (0.105, 1.2)","2.63e-5 (1.55e-6, 9.49e-5)","0.347 (0.101, 0.842)","0.00346% (0.000956%, 0.00908%)",0.695
Embu,"1.72 (1.65, 1.8)","0.827 (0.0287, 2.71)","0.972 (0.0481, 2.84)","2.57 (0.977, 5.44)","11.1 (5.27, 20.6)","0.503 (0.104, 1.23)","3.33e-5 (6.15e-6, 9.11e-5)","0.429 (0.184, 0.841)","0.00355% (0.00147%, 0.00739%)",0.772
Garissa,"1.76 (1.71, 1.82)","0.974 (0.0329, 3.0)","1.2 (0.0714, 3.23)","2.54 (1.31, 4.88)","12.3 (7.6, 18.9)","1.08 (0.45, 1.95)","0.000183 (9.06e-5, 0.000335)","0.632 (0.323, 0.969)","0.00381% (0.00221%, 0.00701%)",0.462
HomaBay,"1.79 (1.71, 1.89)","0.635 (0.0192, 2.13)","0.681 (0.0225, 2.27)","1.58 (0.444, 3.86)","13.4 (6.0, 24.7)","0.511 (0.108, 1.21)","2.73e-5 (5.45e-6, 7.77e-5)","0.372 (0.121, 0.853)","0.000555% (0.000174%, 0.00138%)",0.715
Isiolo,"1.72 (1.63, 1.81)","4.51 (0.145, 16.1)","4.18 (0.117, 14.4)","1.81 (0.826, 3.78)","11.0 (4.9, 21.4)","0.445 (0.148, 0.898)","3.87e-5 (1.2e-5, 9.42e-5)","0.677 (0.322, 0.983)","0.00487% (0.0029%, 0.00939%)",0.702
Kajiado,"1.73 (1.7, 1.76)","14.1 (0.366, 43.1)","23.5 (2.69, 49.9)","3.81 (2.08, 6.56)","22.4 (15.1, 31.6)","0.795 (0.517, 1.15)","0.000271 (0.000156, 0.000446)","0.619 (0.369, 0.934)","0.00829% (0.00509%, 0.0133%)",0.665
Kakamega,"1.78 (1.71, 1.85)","0.946 (0.0339, 3.0)","1.2 (0.0704, 3.26)","2.81 (0.969, 5.83)","23.1 (12.4, 38.7)","0.524 (0.109, 1.24)","3.54e-5 (1.06e-5, 8.29e-5)","0.176 (0.0732, 0.383)","0.00131% (0.000481%, 0.00272%)",0.72
Kericho,"1.75 (1.68, 1.81)","0.883 (0.0301, 2.84)","1.08 (0.0585, 3.05)","2.69 (1.12, 5.39)","11.6 (6.93, 18.1)","1.06 (0.354, 2.06)","9.06e-5 (3.48e-5, 0.00019)","0.451 (0.209, 0.833)","0.00265% (0.00122%, 0.00515%)",0.594
Kiambu,"1.77 (1.74, 1.8)","14.7 (0.444, 46.5)","27.6 (3.44, 56.0)","4.12 (2.11, 6.95)","30.2 (20.7, 42.1)","0.565 (0.339, 0.862)","0.000142 (8.16e-5, 0.000232)","0.509 (0.305, 0.823)","0.0156% (0.00887%, 0.0247%)",0.57
Kilifi,"1.72 (1.66, 1.78)","15.4 (0.526, 48.7)","30.1 (4.09, 59.1)","1.8 (0.825, 3.42)","12.4 (7.3, 19.2)","0.414 (0.132, 0.846)","0.0001 (2.59e-6, 0.000373)","0.419 (0.217, 0.722)","0.00113% (0.000568%, 0.00206%)",0.739
Kirinyaga,"1.84 (1.75, 1.96)","0.497 (0.0143, 1.81)","0.502 (0.013, 1.82)","1.58 (0.535, 3.87)","13.6 (5.18, 28.0)","0.501 (0.104, 1.2)","1.22e-5 (1.44e-6, 4.15e-5)","0.488 (0.171, 0.935)","0.00139% (0.000566%, 0.00332%)",0.682
Kisii,"1.75 (1.69, 1.82)","0.877 (0.0292, 2.73)","1.06 (0.0603, 2.94)","2.41 (0.939, 5.02)","17.2 (10.2, 26.7)","1.25 (0.486, 2.29)","0.0001 (3.88e-5, 0.000214)","0.429 (0.185, 0.823)","0.00204% (0.000871%, 0.00421%)",0.658
Kisumu,"1.63 (1.58, 1.67)","14.2 (0.41, 43.9)","23.2 (2.05, 52.8)","2.19 (0.877, 4.6)","25.8 (16.4, 38.1)","1.36 (0.834, 2.0)","7.94e-5 (3.58e-5, 0.000157)","0.468 (0.22, 0.854)","0.00304% (0.00136%, 0.00595%)",0.688
Kitui,"1.77 (1.71, 1.84)","0.887 (0.0294, 2.74)","1.13 (0.0642, 3.13)","2.54 (0.946, 5.25)","11.6 (6.1, 19.4)","0.903 (0.274, 1.84)","7.61e-5 (2.84e-5, 0.000166)","0.393 (0.173, 0.781)","0.00332% (0.00137%, 0.0067%)",0.534
Kwale,"2.13 (2.03, 2.24)","1.16 (0.0379, 3.66)","1.9 (0.179, 4.36)","3.39 (1.68, 5.87)","10.8 (5.76, 18.2)","0.498 (0.102, 1.19)","9.92e-5 (2.32e-6, 0.000361)","0.215 (0.118, 0.361)","0.000963% (0.000512%, 0.00164%)",0.603
Laikipia,"1.79 (1.72, 1.87)","0.562 (0.0148, 1.91)","0.577 (0.0221, 1.93)","1.7 (0.692, 3.74)","23.7 (12.3, 40.1)","0.534 (0.106, 1.29)","4.21e-5 (1.26e-5, 0.000103)","0.514 (0.215, 0.927)","0.00773% (0.00356%, 0.0164%)",0.672
